Q_scale,R_std,CI,Coverage_percent,Sharpness_avg_volume,Mean_error,Calibration_MAE,Calibration_RMSE,Reliability_score,inside_count,total
0.651,0.1,CI68,94.5582329317269,1291.7288965780149,1.717644065788899,0.3839925157174352,0.43965599540249783,61.60074842825648,84762,89640
0.661,0.1,CI68,94.65640339134315,1320.212705189865,1.7183094448452612,0.38511339085715796,0.4408147151722802,61.488660914284196,84850,89640
0.671,0.1,CI68,94.7512271307452,1348.8695017370603,1.7189740499354977,0.3862152681131567,0.4419565810363582,61.378473188684325,84935,89640
0.681,0.1,CI68,94.83377956269523,1377.6972783184954,1.719637851386049,0.38728599767607286,0.44306690951080113,61.271400232392715,85009,89640
0.691,0.1,CI68,94.91633199464525,1406.694072418016,1.720300821689073,0.3883275676965286,0.44414961385636503,61.16724323034715,85083,89640
0.701,0.1,CI68,95.02454261490406,1435.8579653319055,1.7209629353583848,0.3893473785129517,0.44520310121228057,61.065262148704825,85180,89640
0.711,0.1,CI68,95.1227130745203,1465.1870806722652,1.7216241687915972,0.39034178518253426,0.44624383693789804,60.96582148174657,85268,89640
0.721,0.1,CI68,95.19076305220884,1494.6795829416226,1.7222845001392642,0.39134016815336153,0.4472877828806625,60.865983184663854,85329,89640
0.731,0.1,CI68,95.27666220437305,1524.3336761743735,1.7229439091814978,0.39229414909362426,0.44828807703695234,60.770585090637574,85406,89640
0.741,0.1,CI68,95.36367692994199,1554.147602641064,1.7236023772120508,0.3932588439566848,0.4493013655733582,60.67411560433151,85484,89640
0.751,0.1,CI68,95.43730477465418,1584.1196416117627,1.7242598869293462,0.39417990995886737,0.45027430887910136,60.58200900411326,85550,89640
0.761,0.1,CI68,95.5198572066042,1614.2481081750295,1.7249164223334983,0.3950916979248125,0.45123388827838307,60.490830207518755,85624,89640
0.771,0.1,CI68,95.62360553324409,1644.5313521093246,1.7255719686281517,0.39598327302609776,0.45217392905856935,60.40167269739023,85717,89640
0.781,0.1,CI68,95.70838911200357,1674.967756803796,1.7262265121260967,0.3968578383942811,0.4531007142087253,60.31421616057189,85793,89640
0.791,0.1,CI68,95.77867023650157,1705.5557382257189,1.7268800401581348,0.39772500342403716,0.4540188476889493,60.22749965759628,85856,89640
0.801,0.1,CI68,95.84783578759483,1736.2937439319612,1.727532540985423,0.39856588068445403,0.4549143177559831,60.14341193155459,85918,89640
0.811,0.1,CI68,95.93373493975903,1767.1802521220666,1.7281840037162548,0.39939184681520357,0.45579349344955283,60.06081531847964,85995,89640
0.821,0.1,CI68,95.99955377063812,1798.2137707306877,1.7288344182284066,0.4002077617400293,0.45666146171165295,59.979223825997074,86054,89640
0.831,0.1,CI68,96.07652833556448,1829.3928365573065,1.7294837750978038,0.4010083237239386,0.45752353092305176,59.89916762760614,86123,89640
0.841,0.1,CI68,96.15684962070505,1860.7160144312095,1.730132065533378,0.4017892251072496,0.45835282136539846,59.821077489275034,86195,89640
0.851,0.1,CI68,96.214859437751,1892.1818964099086,1.730779281317143,0.4025584184924516,0.4591754406101898,59.74415815075484,86247,89640
0.861,0.1,CI68,96.27175368139224,1923.7891010093003,1.7314254147480532,0.40332308331234734,0.460002379434426,59.667691668765265,86298,89640
0.871,0.1,CI68,96.34426595269969,1955.5362724638994,1.7320704585883036,0.4040624544382149,0.46079842800583365,59.5937545561785,86363,89640
0.881,0.1,CI68,96.40562248995984,1987.4220800156813,1.7327144060113842,0.4047907802828476,0.4615789362065324,59.52092197171523,86418,89640
0.891,0.1,CI68,96.46251673360106,2019.4452172300605,1.7333572505526433,0.4055025382056278,0.4623522866450051,59.44974617943721,86469,89640
0.901,0.1,CI68,96.53614457831326,2051.604401337726,1.7339989860661518,0.4062188246937144,0.46312506578856333,59.37811753062856,86535,89640
0.911,0.1,CI68,96.59973226238286,2083.8983726010038,1.7346396066979521,0.4069069457146517,0.4638701470174419,59.30930542853483,86592,89640
0.921,0.1,CI68,96.66666666666667,2116.3258937036417,1.7352791068985043,0.4075888813780976,0.4646129083049402,59.24111186219023,86652,89640
0.931,0.1,CI68,96.7347166443552,2148.8857491628664,1.7359174815236231,0.40827114839998063,0.46535368213330514,59.17288516000194,86713,89640
0.941,0.1,CI68,96.78157072735387,2181.576744762629,1.73655472613679,0.40892591267158845,0.4660675400427844,59.10740873284115,86755,89640
