dataset,split,point_index,t,measured_X,measured_Y,measured_Z,ref_X,ref_Y,ref_Z
Dataset01,all,70,7.0,9.5648598,9.2918776,-7.2650251,9.565095148560992,9.291525959938149,-7.264786566093622
Dataset01,all,71,7.1000000000000005,9.5681625,9.2910126,-7.2676259,9.568214685750714,9.29096224005364,-7.267506297052476
Dataset01,all,72,7.2,9.5659382,9.2907167,-7.2639577,9.56620599345117,9.29065987009701,-7.264112357164613
Dataset01,all,73,7.300000000000001,9.568914,9.2906861,-7.2684124,9.56895194501749,9.290623224810783,-7.2682293831112155
Dataset01,all,74,7.4,9.5677171,9.2920768,-7.2680609,9.567914177975121,9.291960779727052,-7.268078757572791
Dataset01,all,75,7.5,9.5653603,9.2899075,-7.2621271,9.565593869738606,9.289946616742197,-7.262381798245423
Dataset01,all,76,7.6000000000000005,9.5682075,9.2894715,-7.2667524,9.56820678277591,9.289441990799615,-7.266558342506083
Dataset01,all,77,7.7,9.5658999,9.287026,-7.2626022,9.566102139441776,9.287079200226925,-7.2627691086529
Dataset01,all,78,7.800000000000001,9.5667483,9.2904104,-7.2682948,9.566810408478467,9.290221790416217,-7.268055579184415
Dataset01,all,79,7.9,9.5667537,9.2895099,-7.267331,9.566839150274037,9.289505130421409,-7.267371225754562
Dataset01,all,80,8.0,9.5667395,9.2905202,-7.2630979,9.566818961041873,9.290444654401123,-7.263280801154402
Dataset01,all,81,8.1,9.5652749,9.2901261,-7.2680334,9.565406703619244,9.290112405235135,-7.267827518253645
Dataset01,all,82,8.200000000000001,9.5621222,9.2905015,-7.2584621,9.562313799399993,9.290459869803046,-7.25885705447907
Dataset01,all,83,8.3,9.5673423,9.2901422,-7.2654672,9.567173723024501,9.29013349291422,-7.265167554491964
Dataset01,all,84,8.4,9.5658138,9.2906285,-7.2678161,9.565923950887834,9.29058707384815,-7.267707017707823
Dataset01,all,85,8.5,9.5659322,9.2918201,-7.267689,9.565975932936263,9.291752004483236,-7.267699776240714
Dataset01,all,86,8.6,9.5655817,9.2916762,-7.2653833,9.565638057345721,9.291668256438186,-7.265487871854492
Dataset01,all,87,8.700000000000001,9.5663325,9.2923647,-7.2680539,9.56633884918727,9.292325635070576,-7.26794765120534
Dataset01,all,88,8.8,9.5643949,9.2901149,-7.2673439,9.564509463578078,9.29019925670035,-7.26737800194655
Dataset01,all,89,8.9,9.5677474,9.2912074,-7.2663107,9.567637890932131,9.291151369477289,-7.266360819058181
Dataset01,all,90,9.0,9.5662827,9.2934529,-7.2683752,9.566372527818233,9.293348626409596,-7.268293698107139
Dataset01,all,91,9.1,9.5661704,9.2906165,-7.2653599,9.5662045252059,9.29072925257006,-7.265489831751533
Dataset01,all,92,9.200000000000001,9.5666299,9.2907755,-7.2667287,9.566635051908913,9.290763450353849,-7.266674777459459
Dataset01,all,93,9.3,9.567084,9.2928504,-7.2679571,9.567087712038262,9.292755298656788,-7.267906282470413
Dataset01,all,94,9.4,9.5647959,9.2907951,-7.2645732,9.564912286948982,9.290875514351798,-7.264717308071478
Dataset01,all,95,9.5,9.5682715,9.2909601,-7.2667625,9.568144304306797,9.290948897522124,-7.266671754579767
Dataset01,all,96,9.600000000000001,9.5665303,9.2928167,-7.2675186,9.566619719908045,9.292732985998022,-7.267485507728325
Dataset01,all,97,9.700000000000001,9.5651666,9.2905173,-7.2655404,9.565241265656423,9.29060956603346,-7.265625435784606
Dataset01,all,98,9.8,9.5674742,9.2933012,-7.2693225,9.567390095047465,9.293182739654974,-7.2691671652437115
Dataset01,all,99,9.9,9.5694132,9.2928442,-7.2670005,9.569345384827903,9.292861442870596,-7.267101055415904
Dataset01,all,100,10.0,9.5683159,9.2901633,-7.2680676,9.568380113173387,9.29027627246842,-7.268029829600945
Dataset01,all,101,10.100000000000001,9.567598,9.2928477,-7.2690414,9.567646181788238,9.292733128734424,-7.269005203008583
Dataset01,all,102,10.200000000000001,9.5679398,9.2928983,-7.2663711,9.567939249805061,9.292893352280789,-7.266488515156506
Dataset01,all,103,10.3,9.5695699,9.2943424,-7.2719098,9.569514268834265,9.294284962462115,-7.271684398081674
Dataset01,all,104,10.4,9.5682459,9.2928238,-7.268476,9.56831485842093,9.292891577542436,-7.268626901996502
Dataset01,all,105,10.5,9.5678456,9.2943096,-7.2659027,9.567875345815645,9.294252502758804,-7.266019933076711
Dataset01,all,106,10.600000000000001,9.5676922,9.2954974,-7.2650929,9.567707447032312,9.29545262646988,-7.2651253828042215
Dataset01,all,107,10.700000000000001,9.5685029,9.2937023,-7.2680612,9.56847641105826,9.293785096942713,-7.267931452916344
Dataset01,all,108,10.8,9.5698969,9.2947939,-7.2686572,9.56984704394365,9.294755408564226,-7.268630365100082
Dataset01,all,109,10.9,9.5687404,9.2924986,-7.2687204,9.56879927479687,9.292598257675621,-7.268722214864004
Dataset01,all,110,11.0,9.5692591,9.2943701,-7.268811,9.569248036771366,9.29429459093123,-7.268812701585668
Dataset01,all,111,11.100000000000001,9.5665693,9.2921759,-7.2705972,9.566688656338636,9.292267669582222,-7.270528826327203
Dataset01,all,112,11.200000000000001,9.5663338,9.2912822,-7.2632551,9.56634649492189,9.291318908786849,-7.263566440656765
Dataset01,all,113,11.3,9.5690311,9.2958028,-7.2699923,9.568917313472259,9.29561065256601,-7.2697104810467295
Dataset01,all,114,11.4,9.5683044,9.2966342,-7.2679041,9.56833691590307,9.296602184989517,-7.26798732021452
Dataset01,all,115,11.5,9.5709095,9.2955279,-7.2728639,9.57080771284826,9.295585293969548,-7.2726639988477295
Dataset01,all,116,11.600000000000001,9.5699057,9.2963762,-7.2720137,9.569956427213906,9.296351472976797,-7.272059846523899
Dataset01,all,117,11.700000000000001,9.5687101,9.2938418,-7.2699553,9.568770417985935,9.293955413957429,-7.270057220065505
Dataset01,all,118,11.8,9.5692342,9.2946097,-7.2693029,9.569218526072861,9.294582534367565,-7.26933988953812
Dataset01,all,119,11.9,9.5679687,9.2930437,-7.2694933,9.56802510805463,9.293109432054964,-7.26948950125912
Dataset01,all,120,12.0,9.5688642,9.2950231,-7.2652002,9.568829351475907,9.294940502959827,-7.265379936200702
Dataset01,all,121,12.100000000000001,9.5678449,9.2947155,-7.2684493,9.567888407789006,9.29472858930623,-7.268309288187835
Dataset01,all,122,12.200000000000001,9.5697926,9.2936749,-7.2718395,9.569713046961695,9.293720970547064,-7.271693200374118
Dataset01,all,123,12.3,9.5679842,9.2912893,-7.2685595,9.568061675387979,9.291388006231859,-7.268701264640716
Dataset01,all,124,12.4,9.5688339,9.2922377,-7.2709256,9.568801210983862,9.292192139369076,-7.270833558477251
Dataset01,all,125,12.5,9.5677323,9.2997973,-7.1909376,9.567778496580932,9.299477323108501,-7.19424005026568
